index,group,yes_side,phase,audio,visual_target,correct,type,match_sel,mismatch_sel,step,path
45,B_group,left,exposure,Arrow,Ankle,no,fill_word,Same,Different,NA,word/Arrow_1.mp3
46,B_group,left,exposure,Assume,Replace,no,fill_word,Same,Different,NA,word/Assume_1.mp3
47,B_group,left,exposure,Aware,Aware,yes,fill_word,Same,Different,NA,word/Aware_1.mp3
48,B_group,left,exposure,Enemy,Enemy,yes,fill_word,Same,Different,NA,word/Enemy_1.mp3
49,B_group,left,exposure,Ensure,Knowledge,no,fill_word,Same,Different,NA,word/Ensure_1.mp3
50,B_group,left,exposure,Error,Spirit,no,fill_word,Same,Different,NA,word/Error_1.mp3
51,B_group,left,exposure,Eye,Eye,yes,fill_word,Same,Different,NA,word/Eye_1.mp3
52,B_group,left,exposure,Failure,Failure,yes,fill_word,Same,Different,NA,word/Failure_1.mp3
53,B_group,left,exposure,Famous,Kettle,no,fill_word,Same,Different,NA,word/Famous_1.mp3
54,B_group,left,exposure,Flower,Retreat,no,fill_word,Same,Different,NA,word/Flower_1.mp3
55,B_group,left,exposure,Frame,Frame,yes,fill_word,Same,Different,NA,word/Frame_1.mp3
56,B_group,left,exposure,Funnel,Funnel,yes,fill_word,Same,Different,NA,word/Funnel_1.mp3
57,B_group,left,exposure,Hallway,Mine,no,fill_word,Same,Different,NA,word/Hallway_1.mp3
58,B_group,left,exposure,Hang,Chorus,no,fill_word,Same,Different,NA,word/Hang_1.mp3
59,B_group,left,exposure,Harmony,Harmony,yes,fill_word,Same,Different,NA,word/Harmony_1.mp3
60,B_group,left,exposure,Hill,Hill,yes,fill_word,Same,Different,NA,word/Hill_1.mp3
61,B_group,left,exposure,Hole,Major,no,fill_word,Same,Different,NA,word/Hole_1.mp3
62,B_group,left,exposure,Horn,Greeting,no,fill_word,Same,Different,NA,word/Horn_1.mp3
63,B_group,left,exposure,Jelly,Jelly,yes,fill_word,Same,Different,NA,word/Jelly_2.mp3
64,B_group,left,exposure,Jewel,Jewel,yes,fill_word,Same,Different,NA,word/Jewel_1.mp3
65,B_group,left,exposure,Lawyer,Physical,no,fill_word,Same,Different,NA,word/Lawyer_1.mp3
66,B_group,left,exposure,Layer,Layout,no,fill_word,Same,Different,NA,word/Layer_1.mp3
67,B_group,left,exposure,Learning,Learning,yes,fill_word,Same,Different,NA,word/Learning_1.mp3
68,B_group,left,exposure,Low,Low,yes,fill_word,Same,Different,NA,word/Low_1.mp3
69,B_group,left,exposure,Main,Heavy,no,fill_word,Same,Different,NA,word/Main_1.mp3
70,B_group,left,exposure,Marine,Remark,no,fill_word,Same,Different,NA,word/Marine_1.mp3
71,B_group,left,exposure,Memory,Memory,yes,fill_word,Same,Different,NA,word/Memory_1.mp3
72,B_group,left,exposure,Money,Money,yes,fill_word,Same,Different,NA,word/Money_1.mp3
73,B_group,left,exposure,Name,Flower,no,fill_word,Same,Different,NA,word/Name_1.mp3
74,B_group,left,exposure,Narrow,Decide,no,fill_word,Same,Different,NA,word/Narrow_1.mp3
75,B_group,left,exposure,Normal,Normal,yes,fill_word,Same,Different,NA,word/Normal_2.mp3
76,B_group,left,exposure,Nun,Nun,yes,fill_word,Same,Different,NA,word/Nun_1.mp3
77,B_group,left,exposure,Phenomenon,Export,no,fill_word,Same,Different,NA,word/Phenomenon_1.mp3
78,B_group,left,exposure,Rally,Short,no,fill_word,Same,Different,NA,word/Rally_1.mp3
79,B_group,left,exposure,Range,Route,no,fill_word,Same,Different,NA,word/Range_1.mp3
80,B_group,left,exposure,Real,Keep,no,fill_word,Same,Different,NA,word/Real_1.mp3
81,B_group,left,exposure,Reign,Throne,no,fill_word,Same,Different,NA,word/Reign_1.mp3
82,B_group,left,exposure,Ring,Jet,no,fill_word,Same,Different,NA,word/Ring_1.mp3
83,B_group,left,exposure,Roar,Black,no,fill_word,Same,Different,NA,word/Roar_1.mp3
84,B_group,left,exposure,Royal,Seed,no,fill_word,Same,Different,NA,word/Royal_1.mp3
85,B_group,left,exposure,Ruin,Stun,no,fill_word,Same,Different,NA,word/Ruin_1.mp3
86,B_group,left,exposure,Rumor,Jump,no,fill_word,Same,Different,NA,word/Rumor_1.mp3
87,B_group,left,exposure,Runner,Switch,no,fill_word,Same,Different,NA,word/Runner_1.mp3
88,B_group,left,exposure,Sailor,Wolf,no,fill_word,Same,Different,NA,word/Sailor_1.mp3
89,B_group,left,exposure,Seal,Trunk,no,fill_word,Same,Different,NA,word/Seal_1.mp3
90,B_group,left,exposure,Shell,Self,no,fill_word,Same,Different,NA,word/Shell_1.mp3
91,B_group,left,exposure,Similar,Voice,no,fill_word,Same,Different,NA,word/Similar_1.mp3
92,B_group,left,exposure,Soil,Clock,no,fill_word,Same,Different,NA,word/Soil_1.mp3
93,B_group,left,exposure,Valley,Feed,no,fill_word,Same,Different,NA,word/Valley_1.mp3
94,B_group,left,exposure,Vary,Straw,no,fill_word,Same,Different,NA,word/Vary_1.mp3
95,B_group,left,exposure,Venue,Shout,no,fill_word,Same,Different,NA,word/Venue_1.mp3
96,B_group,left,exposure,Violin,Source,no,fill_word,Same,Different,NA,word/Violin_1.mp3
97,B_group,left,exposure,Volume,Volume,yes,fill_word,Same,Different,NA,word/Volume_1.mp3
98,B_group,left,exposure,Sewer,Sewer,yes,fill_word,Same,Different,NA,word/Sewer_1.mp3
99,B_group,left,exposure,Swear,Map,no,fill_word,Same,Different,NA,word/Swear_1.mp3
100,B_group,left,exposure,Throne,Steak,no,fill_word,Same,Different,NA,word/Throne_1.mp3
