index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
58,P_group,left,BGD,exposure,fill_word,Hang,NA,1,1,2,Hang,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Hang_1.mp3
59,P_group,left,BGD,exposure,fill_word,Harmony,NA,0,1,1,Habitat,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Harmony_1.mp3
60,P_group,left,BGD,exposure,fill_word,Hill,NA,1,1,2,Hill,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Hill_1.mp3
61,P_group,left,BGD,exposure,fill_word,Hole,NA,0,1,1,Hurl,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Hole_1.mp3
62,P_group,left,BGD,exposure,fill_word,Horn,NA,0,1,1,Heel,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Horn_1.mp3
63,P_group,left,BGD,exposure,fill_word,Jelly,NA,1,1,2,Jelly,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Jelly_2.mp3
64,P_group,left,BGD,exposure,fill_word,Jewel,NA,0,0,0,Tribute,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Jewel_1.mp3
65,P_group,left,BGD,exposure,fill_word,Lawyer,NA,0,0,0,Advice,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Lawyer_1.mp3
66,P_group,left,BGD,exposure,fill_word,Layer,NA,1,1,2,Layer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Layer_1.mp3
67,P_group,left,BGD,exposure,fill_word,Learning,NA,1,1,2,Learning,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Learning_1.mp3
68,P_group,left,BGD,exposure,fill_word,Low,NA,1,1,2,Low,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Low_1.mp3
69,P_group,left,BGD,exposure,fill_word,Main,NA,0,1,1,Maid,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Main_1.mp3
70,P_group,left,BGD,exposure,fill_word,Marine,NA,0,1,1,Mature,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Marine_1.mp3
