index,group,yes_side,phase,type,audio,match,same_onset,needs_match_onset,visual_target,correct,match_sel,mismatch_sel,step,path
44,B_group,left,exposure,fill_word,Arena,1,1,2,Arena,yes,SAME,DIFFERENT,NA,word/Arena_1.mp3
45,B_group,left,exposure,fill_word,Arrow,0,1,1,Ambition,no,SAME,DIFFERENT,NA,word/Arrow_1.mp3
46,B_group,left,exposure,fill_word,Assume,1,1,2,Assume,yes,SAME,DIFFERENT,NA,word/Assume_1.mp3
47,B_group,left,exposure,fill_word,Aware,0,1,1,Arrest,no,SAME,DIFFERENT,NA,word/Aware_1.mp3
48,B_group,left,exposure,fill_word,Enemy,0,1,1,Energy,no,SAME,DIFFERENT,NA,word/Enemy_1.mp3
49,B_group,left,exposure,fill_word,Ensure,1,1,2,Ensure,yes,SAME,DIFFERENT,NA,word/Ensure_1.mp3
50,B_group,left,exposure,fill_word,Error,0,0,0,Lonely,no,SAME,DIFFERENT,NA,word/Error_1.mp3
51,B_group,left,exposure,fill_word,Eye,0,0,0,Verdict,no,SAME,DIFFERENT,NA,word/Eye_1.mp3
52,B_group,left,exposure,fill_word,Failure,1,1,2,Failure,yes,SAME,DIFFERENT,NA,word/Failure_1.mp3
53,B_group,left,exposure,fill_word,Famous,0,0,0,Loss,no,SAME,DIFFERENT,NA,word/Famous_1.mp3
54,B_group,left,exposure,fill_word,Flower,0,1,1,Flourish,no,SAME,DIFFERENT,NA,word/Flower_1.mp3
55,B_group,left,exposure,fill_word,Frame,0,1,1,Frown,no,SAME,DIFFERENT,NA,word/Frame_1.mp3
56,B_group,left,exposure,fill_word,Funnel,0,0,0,Deny,no,SAME,DIFFERENT,NA,word/Funnel_1.mp3
57,B_group,left,exposure,fill_word,Hallway,0,1,1,Harvest,no,SAME,DIFFERENT,NA,word/Hallway_1.mp3
58,B_group,left,exposure,fill_word,Hang,1,1,2,Hang,yes,SAME,DIFFERENT,NA,word/Hang_1.mp3
59,B_group,left,exposure,fill_word,Harmony,0,1,1,Habitat,no,SAME,DIFFERENT,NA,word/Harmony_1.mp3
60,B_group,left,exposure,fill_word,Hill,1,1,2,Hill,yes,SAME,DIFFERENT,NA,word/Hill_1.mp3
61,B_group,left,exposure,fill_word,Hole,0,1,1,Hurl,no,SAME,DIFFERENT,NA,word/Hole_1.mp3
62,B_group,left,exposure,fill_word,Horn,0,1,1,Heel,no,SAME,DIFFERENT,NA,word/Horn_1.mp3
63,B_group,left,exposure,fill_word,Jelly,1,1,2,Jelly,yes,SAME,DIFFERENT,NA,word/Jelly_2.mp3
64,B_group,left,exposure,fill_word,Jewel,0,0,0,Tribute,no,SAME,DIFFERENT,NA,word/Jewel_1.mp3
65,B_group,left,exposure,fill_word,Lawyer,0,0,0,Advice,no,SAME,DIFFERENT,NA,word/Lawyer_1.mp3
66,B_group,left,exposure,fill_word,Layer,1,1,2,Layer,yes,SAME,DIFFERENT,NA,word/Layer_1.mp3
67,B_group,left,exposure,fill_word,Learning,1,1,2,Learning,yes,SAME,DIFFERENT,NA,word/Learning_1.mp3
68,B_group,left,exposure,fill_word,Low,1,1,2,Low,yes,SAME,DIFFERENT,NA,word/Low_1.mp3
69,B_group,left,exposure,fill_word,Main,0,1,1,Maid,no,SAME,DIFFERENT,NA,word/Main_1.mp3
70,B_group,left,exposure,fill_word,Marine,0,1,1,Mature,no,SAME,DIFFERENT,NA,word/Marine_1.mp3
71,B_group,left,exposure,fill_word,Memory,1,1,2,Memory,yes,SAME,DIFFERENT,NA,word/Memory_1.mp3
72,B_group,left,exposure,fill_word,Money,1,1,2,Money,yes,SAME,DIFFERENT,NA,word/Money_1.mp3
73,B_group,left,exposure,fill_word,Name,0,0,0,Favor,no,SAME,DIFFERENT,NA,word/Name_1.mp3
74,B_group,left,exposure,fill_word,Narrow,0,0,0,Ankle,no,SAME,DIFFERENT,NA,word/Narrow_1.mp3
75,B_group,left,exposure,fill_word,Normal,0,1,1,Nervous,no,SAME,DIFFERENT,NA,word/Normal_2.mp3
76,B_group,left,exposure,fill_word,Nun,1,1,2,Nun,yes,SAME,DIFFERENT,NA,word/Nun_1.mp3
77,B_group,left,exposure,fill_word,Phenomenon,0,0,0,Replace,no,SAME,DIFFERENT,NA,word/Phenomenon_1.mp3
78,B_group,left,exposure,fill_word,Rally,0,0,0,Knowledge,no,SAME,DIFFERENT,NA,word/Rally_1.mp3
79,B_group,left,exposure,fill_word,Range,0,0,0,Spirit,no,SAME,DIFFERENT,NA,word/Range_1.mp3
80,B_group,left,exposure,fill_word,Real,1,1,2,Real,yes,SAME,DIFFERENT,NA,word/Real_1.mp3
81,B_group,left,exposure,fill_word,Reign,0,0,0,Kettle,no,SAME,DIFFERENT,NA,word/Reign_1.mp3
82,B_group,left,exposure,fill_word,Ring,0,0,0,Retreat,no,SAME,DIFFERENT,NA,word/Ring_1.mp3
83,B_group,left,exposure,fill_word,Roar,1,1,2,Roar,yes,SAME,DIFFERENT,NA,word/Roar_1.mp3
84,B_group,left,exposure,fill_word,Royal,0,1,1,Refund,no,SAME,DIFFERENT,NA,word/Royal_1.mp3
85,B_group,left,exposure,fill_word,Ruin,1,1,2,Ruin,yes,SAME,DIFFERENT,NA,word/Ruin_1.mp3
86,B_group,left,exposure,fill_word,Rumor,1,1,2,Rumor,yes,SAME,DIFFERENT,NA,word/Rumor_1.mp3
87,B_group,left,exposure,fill_word,Runner,0,1,1,River,no,SAME,DIFFERENT,NA,word/Runner_1.mp3
88,B_group,left,exposure,fill_word,Sailor,0,0,0,Mine,no,SAME,DIFFERENT,NA,word/Sailor_1.mp3
89,B_group,left,exposure,fill_word,Seal,0,0,0,Chorus,no,SAME,DIFFERENT,NA,word/Seal_1.mp3
90,B_group,left,exposure,fill_word,Shell,0,0,0,Major,no,SAME,DIFFERENT,NA,word/Shell_1.mp3
91,B_group,left,exposure,fill_word,Similar,0,1,1,Seminar,no,SAME,DIFFERENT,NA,word/Similar_1.mp3
92,B_group,left,exposure,fill_word,Soil,0,1,1,Spoil,no,SAME,DIFFERENT,NA,word/Soil_1.mp3
93,B_group,left,exposure,fill_word,Valley,0,0,0,Greeting,no,SAME,DIFFERENT,NA,word/Valley_1.mp3
94,B_group,left,exposure,fill_word,Vary,1,1,2,Vary,yes,SAME,DIFFERENT,NA,word/Vary_1.mp3
