index,group,target,type,word_sel,nonword_sel,set,step,recording,path,underscore,extension,RENORM
135,control,Normal,fill_word,yes,no,Normal,NA,1,Normal_1.mp3,_,.mp3,
136,control,Nun,fill_word,yes,no,Nun,NA,1,Nun_1.mp3,_,.mp3,
137,control,Phenomenon,fill_word,yes,no,Phenomenon,NA,1,Phenomenon_1.mp3,_,.mp3,
138,control,Rally,fill_word,yes,no,Rally,NA,1,Rally_1.mp3,_,.mp3,
139,control,Range,fill_word,yes,no,Range,NA,1,Range_1.mp3,_,.mp3,
140,control,Real,fill_word,yes,no,Real,NA,1,Real_1.mp3,_,.mp3,
141,control,Reign,fill_word,yes,no,Reign,NA,1,Reign_1.mp3,_,.mp3,
142,control,Ring,fill_word,yes,no,Ring,NA,1,Ring_1.mp3,_,.mp3,
143,control,Roar,fill_word,yes,no,Roar,NA,1,Roar_1.mp3,_,.mp3,
144,control,Royal,fill_word,yes,no,Royal,NA,1,Royal_1.mp3,_,.mp3,
145,control,Ruin,fill_word,yes,no,Ruin,NA,1,Ruin_1.mp3,_,.mp3,
146,control,Rumor,fill_word,yes,no,Rumor,NA,1,Rumor_1.mp3,_,.mp3,
147,control,Runner,fill_word,yes,no,Runner,NA,1,Runner_1.mp3,_,.mp3,
148,control,Sailor,fill_word,yes,no,Sailor,NA,1,Sailor_1.mp3,_,.mp3,
149,control,Seal,fill_word,yes,no,Seal,NA,1,Seal_1.mp3,_,.mp3,
150,control,Shell,fill_word,yes,no,Shell,NA,1,Shell_1.mp3,_,.mp3,
151,control,Similar,fill_word,yes,no,Similar,NA,1,Similar_1.mp3,_,.mp3,
152,control,Soil,fill_word,yes,no,Soil,NA,1,Soil_1.mp3,_,.mp3,
153,control,Valley,fill_word,yes,no,Valley,NA,1,Valley_1.mp3,_,.mp3,
154,control,Vary,fill_word,yes,no,Vary,NA,1,Vary_1.mp3,_,.mp3,
155,control,Venue,fill_word,yes,no,Venue,NA,1,Venue_1.mp3,_,.mp3,
156,control,Violin,fill_word,yes,no,Violin,NA,1,Violin_1.mp3,_,.mp3,
157,control,Volume,fill_word,yes,no,Volume,NA,1,Volume_1.mp3,_,.mp3,
158,control,Sewer,fill_word,yes,no,Sewer,NA,1,Sewer_1.mp3,_,.mp3,
159,control,Swear,fill_word,yes,no,Swear,NA,1,Swear_1.mp3,_,.mp3,
160,control,Throne,fill_word,yes,no,Throne,NA,1,Throne_1.mp3,_,.mp3,
161,control,Aim,fill_word,yes,no,Aim,NA,1,Aim_1.mp3,_,.mp3,
162,control,Anomaly,fill_word,yes,no,Anomaly,NA,1,Anomaly_1.mp3,_,.mp3,
163,control,Celery,fill_word,yes,no,Celery,NA,1,Celery_1.mp3,_,.mp3,
164,control,Cellar,fill_word,yes,no,Cellar,NA,1,Cellar_1.mp3,_,.mp3,
165,control,Cereal,fill_word,yes,no,Cereal,NA,1,Cereal_1.mp3,_,.mp3,
166,control,Chain,fill_word,yes,no,Chain,NA,1,Chain_1.mp3,_,.mp3,
167,control,Channel,fill_word,yes,no,Channel,NA,1,Channel_1.mp3,_,.mp3,
168,control,Charm,fill_word,yes,no,Charm,NA,1,Charm_1.mp3,_,.mp3,
169,control,Cherry,fill_word,yes,no,Cherry,NA,1,Cherry_1.mp3,_,.mp3,
170,control,Cheer,fill_word,yes,no,Cheer,NA,1,Cheer_1.mp3,_,.mp3,
171,control,Chilly,fill_word,yes,no,Chilly,NA,1,Chilly_1.mp3,_,.mp3,
172,control,Early,fill_word,yes,no,Early,NA,1,Early_1.mp3,_,.mp3,
173,control,Earner,fill_word,yes,no,Earner,NA,1,Earner_1.mp3,_,.mp3,
174,control,Elm,fill_word,yes,no,Elm,NA,1,Elm_1.mp3,_,.mp3,
175,control,Enamel,fill_word,yes,no,Enamel,NA,1,Enamel_1.mp3,_,.mp3,
176,control,Enroll,fill_word,yes,no,Enroll,NA,1,Enroll_1.mp3,_,.mp3,
177,control,Fairy,fill_word,yes,no,Fairy,NA,1,Fairy_1.mp3,_,.mp3,
178,control,Fallow,fill_word,yes,no,Fallow,NA,1,Fallow_1.mp3,_,.mp3,
179,control,Family,fill_word,yes,no,Family,NA,1,Family_1.mp3,_,.mp3,
180,control,Farm,fill_word,yes,no,Farm,NA,1,Farm_1.mp3,_,.mp3,
181,control,Faun,fill_word,yes,no,Faun,NA,1,Faun_1.mp3,_,.mp3,
182,control,Fear,fill_word,yes,no,Fear,NA,1,Fear_1.mp3,_,.mp3,
183,control,Felony,fill_word,yes,no,Felony,NA,1,Felony_1.mp3,_,.mp3,
184,control,Film,fill_word,yes,no,Film,NA,1,Film_1.mp3,_,.mp3,
185,control,Gnome,fill_word,yes,no,Gnome,NA,1,Gnome_1.mp3,_,.mp3,
186,control,Hair,fill_word,yes,no,Hair,NA,1,Hair_1.mp3,_,.mp3,
187,control,Halo,fill_word,yes,no,Halo,NA,1,Halo_1.mp3,_,.mp3,
188,control,Harm,fill_word,yes,no,Harm,NA,1,Harm_1.mp3,_,.mp3,
189,control,Hero,fill_word,yes,no,Hero,NA,1,Hero_1.mp3,_,.mp3,
190,control,Owl,fill_word,yes,no,Owl,NA,1,Owl_1.mp3,_,.mp3,
191,control,Psalm,fill_word,yes,no,Psalm,NA,1,Psalm_1.mp3,_,.mp3,
192,control,Rail,fill_word,yes,no,Rail,NA,1,Rail_1.mp3,_,.mp3,
193,control,Realign,fill_word,yes,no,Realign,NA,1,Realign_1.mp3,_,.mp3,
194,control,Rely,fill_word,yes,no,Rely,NA,1,Rely_1.mp3,_,.mp3,
195,control,Rule,fill_word,yes,no,Rule,NA,1,Rule_1.mp3,_,.mp3,
196,control,Room,fill_word,yes,no,Room,NA,1,Room_1.mp3,_,.mp3,
197,control,Rural,fill_word,yes,no,Rural,NA,1,Rural_1.mp3,_,.mp3,
198,control,Salary,fill_word,yes,no,Salary,NA,1,Salary_1.mp3,_,.mp3,
199,control,Scenery,fill_word,yes,no,Scenery,NA,1,Scenery_1.mp3,_,.mp3,
200,control,Seminar,fill_word,yes,no,Seminar,NA,1,Seminar_1.mp3,_,.mp3,
