group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
b_group,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Brayer_Prayer_2_00.wav,32
b_group,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Breliminary_Preliminary_2_00.wav,33
b_group,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Bremier_Premier_2_00.wav,34
b_group,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Brimal_Primal_2_00.wav,35
b_group,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Brime_Prime_2_00.wav,36
b_group,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Brior_Prior_2_00.wav,37
b_group,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Browl_Prowl_2_00.wav,38
b_group,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Bry_Pry_2_00.wav,39
b_group,exposure,crit_unamb,Pylon,NA,1,1,2,Pylon,yes,1,NA,NA,NA,SAME,DIFFERENT,0,NA,audio/unambiguous_p/Bylon_Pylon_2_00.wav,40
b_group,exposure_set,fill_word,Aisle,NA,0,0,0,Outfit,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Aisle_1.wav,41
b_group,exposure,fill_word,Ally,NA,0,1,1,Agile,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Ally_1.wav,42
b_group,exposure,fill_word,Area,NA,0,1,1,Arrogant,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Area_1.wav,43
b_group,exposure,fill_word,Arena,NA,1,1,2,Arena,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Arena_1.wav,44
b_group,exposure,fill_word,Arrow,NA,0,1,1,Ambition,no,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Arrow_1.wav,45
b_group,exposure,fill_word,Assume,NA,1,1,2,Assume,yes,1,NA,NA,NA,SAME,DIFFERENT,NA,NA,audio/filler/Assume_1.wav,46
