group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path,code
control,exposure,fill_word,Layer,NA,1,1,2,Layer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Layer_1.wav,66
control,exposure,fill_word,Learning,NA,1,1,2,Learning,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Learning_1.wav,67
control,exposure,fill_word,Low,NA,1,1,2,Low,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Low_1.wav,68
control,exposure,fill_word,Main,NA,0,1,1,Maid,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Main_1.wav,69
control,exposure,fill_word,Marine,NA,0,1,1,Mature,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Marine_1.wav,70
control,exposure,fill_word,Memory,NA,1,1,2,Memory,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Memory_1.wav,71
control,exposure,fill_word,Money,NA,1,1,2,Money,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Money_1.wav,72
control,exposure,fill_word,Name,NA,0,0,0,Favor,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Name_1.wav,73
control,exposure,fill_word,Narrow,NA,0,0,0,Ankle,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Narrow_1.wav,74
control,exposure,fill_word,Normal,NA,0,1,1,Nervous,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Normal_2.wav,75
control,exposure,fill_word,Nun,NA,1,1,2,Nun,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Nun_1.wav,76
control,exposure,fill_word,Phenomenon,NA,0,0,0,Replace,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Phenomenon_1.wav,77
control,exposure,fill_word,Rally,NA,0,0,0,Knowledge,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Rally_1.wav,78
control,exposure,fill_word,Range,NA,0,0,0,Spirit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Range_1.wav,79
control,exposure_set,fill_word,Real,NA,1,1,2,Real,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Real_1.wav,80
control,exposure,fill_word,Reign,NA,0,0,0,Kettle,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Reign_1.wav,81
control,exposure,fill_word,Ring,NA,0,0,0,Retreat,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ring_1.wav,82
control,exposure,fill_word,Roar,NA,1,1,2,Roar,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Roar_1.wav,83
control,exposure,fill_word,Royal,NA,0,1,1,Refund,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Royal_1.wav,84
control,exposure,fill_word,Ruin,NA,1,1,2,Ruin,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ruin_1.wav,85
control,exposure,fill_word,Rumor,NA,1,1,2,Rumor,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Rumor_1.wav,86
control,exposure,fill_word,Runner,NA,0,1,1,River,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Runner_1.wav,87
control,exposure,fill_word,Sailor,NA,0,0,0,Mine,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Sailor_1.wav,88
control,exposure,fill_word,Seal,NA,0,0,0,Chorus,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Seal_1.wav,89
control,exposure,fill_word,Shell,NA,0,0,0,Major,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Shell_1.wav,90
control,exposure,fill_word,Similar,NA,0,1,1,Seminar,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Similar_1.wav,91
control,exposure,fill_word,Soil,NA,0,1,1,Spoil,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Soil_1.wav,92
control,exposure,fill_word,Valley,NA,0,0,0,Greeting,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Valley_1.wav,93
control,exposure,fill_word,Vary,NA,1,1,2,Vary,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Vary_1.wav,94
control,exposure,fill_word,Venue,NA,0,1,1,Vessel,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Venue_1.wav,95
control,exposure_set,fill_word,Violin,NA,1,1,2,Violin,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Violin_1.wav,96
control,exposure,fill_word,Volume,NA,0,0,0,Physical,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Volume_1.wav,97
control,exposure,fill_word,Sewer,NA,0,0,0,Layout,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Sewer_1.wav,98
control,exposure,fill_word,Swear,NA,0,0,0,Remark,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Swear_1.wav,99
control,exposure,fill_word,Throne,NA,1,1,2,Throne,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Throne_1.wav,100
control,test_onset,onset_syllable,BAA_PAA_3_00,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,0,audio/onset_syllables/BAA_PAA_3_00.wav,101
control,test_onset,onset_syllable,BAA_PAA_3_05,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,5,audio/onset_syllables/BAA_PAA_3_05.wav,102
control,test_onset,onset_syllable,BAA_PAA_3_10,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,10,audio/onset_syllables/BAA_PAA_3_10.wav,103
control,test_onset,onset_syllable,BAA_PAA_3_15,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,15,audio/onset_syllables/BAA_PAA_3_15.wav,104
control,test_onset,onset_syllable,BAA_PAA_3_18,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,18,audio/onset_syllables/BAA_PAA_3_18.wav,105
control,test_onset,onset_syllable,BAA_PAA_3_20,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,20,audio/onset_syllables/BAA_PAA_3_20.wav,106
control,test_onset,onset_syllable,BAA_PAA_3_22,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,22,audio/onset_syllables/BAA_PAA_3_22.wav,107
control,test_onset,onset_syllable,BAA_PAA_3_24,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,24,audio/onset_syllables/BAA_PAA_3_24.wav,108
control,test_onset,onset_syllable,BAA_PAA_3_27,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,27,audio/onset_syllables/BAA_PAA_3_27.wav,109
control,test_onset,onset_syllable,BAA_PAA_3_30,AA,NA,NA,NA,NA,NA,1,25,B,P,NA,NA,30,audio/onset_syllables/BAA_PAA_3_30.wav,110
control,test_onset,onset_syllable,BAH_PAH_3_00,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,0,audio/onset_syllables/BAH_PAH_3_00.wav,111
control,test_onset,onset_syllable,BAH_PAH_3_05,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,5,audio/onset_syllables/BAH_PAH_3_05.wav,112
control,test_onset,onset_syllable,BAH_PAH_3_10,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,10,audio/onset_syllables/BAH_PAH_3_10.wav,113
control,test_onset,onset_syllable,BAH_PAH_3_15,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,15,audio/onset_syllables/BAH_PAH_3_15.wav,114
control,test_onset,onset_syllable,BAH_PAH_3_18,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,18,audio/onset_syllables/BAH_PAH_3_18.wav,115
control,test_onset,onset_syllable,BAH_PAH_3_20,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,20,audio/onset_syllables/BAH_PAH_3_20.wav,116
control,test_onset,onset_syllable,BAH_PAH_3_22,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,22,audio/onset_syllables/BAH_PAH_3_22.wav,117
control,test_onset,onset_syllable,BAH_PAH_3_24,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,24,audio/onset_syllables/BAH_PAH_3_24.wav,118
control,test_onset,onset_syllable,BAH_PAH_3_27,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,27,audio/onset_syllables/BAH_PAH_3_27.wav,119
control,test_onset,onset_syllable,BAH_PAH_3_30,AH,NA,NA,NA,NA,NA,1,23,B,P,NA,NA,30,audio/onset_syllables/BAH_PAH_3_30.wav,120
control,test_onset,onset_syllable,BIH_PIH_1_00,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,0,audio/onset_syllables/BIH_PIH_1_00.wav,121
control,test_onset,onset_syllable,BIH_PIH_1_05,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,5,audio/onset_syllables/BIH_PIH_1_05.wav,122
control,test_onset,onset_syllable,BIH_PIH_1_10,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,10,audio/onset_syllables/BIH_PIH_1_10.wav,123
control,test_onset,onset_syllable,BIH_PIH_1_15,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,15,audio/onset_syllables/BIH_PIH_1_15.wav,124
control,test_onset,onset_syllable,BIH_PIH_1_18,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,18,audio/onset_syllables/BIH_PIH_1_18.wav,125
control,test_onset,onset_syllable,BIH_PIH_1_20,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,20,audio/onset_syllables/BIH_PIH_1_20.wav,126
control,test_onset,onset_syllable,BIH_PIH_1_22,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,22,audio/onset_syllables/BIH_PIH_1_22.wav,127
control,test_onset,onset_syllable,BIH_PIH_1_24,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,24,audio/onset_syllables/BIH_PIH_1_24.wav,128
control,test_onset,onset_syllable,BIH_PIH_1_27,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,27,audio/onset_syllables/BIH_PIH_1_27.wav,129
control,test_onset,onset_syllable,BIH_PIH_1_30,IH,NA,NA,NA,NA,NA,1,16,B,P,NA,NA,30,audio/onset_syllables/BIH_PIH_1_30.wav,130
control,test_onset,onset_syllable,BUH_PUH_3_00,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,0,audio/onset_syllables/BUH_PUH_3_00.wav,131
control,test_onset,onset_syllable,BUH_PUH_3_05,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,5,audio/onset_syllables/BUH_PUH_3_05.wav,132
control,test_onset,onset_syllable,BUH_PUH_3_10,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,10,audio/onset_syllables/BUH_PUH_3_10.wav,133
control,test_onset,onset_syllable,BUH_PUH_3_15,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,15,audio/onset_syllables/BUH_PUH_3_15.wav,134
control,test_onset,onset_syllable,BUH_PUH_3_18,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,18,audio/onset_syllables/BUH_PUH_3_18.wav,135
control,test_onset,onset_syllable,BUH_PUH_3_20,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,20,audio/onset_syllables/BUH_PUH_3_20.wav,136
control,test_onset,onset_syllable,BUH_PUH_3_22,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,22,audio/onset_syllables/BUH_PUH_3_22.wav,137
control,test_onset,onset_syllable,BUH_PUH_3_24,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,24,audio/onset_syllables/BUH_PUH_3_24.wav,138
control,test_onset,onset_syllable,BUH_PUH_3_27,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,27,audio/onset_syllables/BUH_PUH_3_27.wav,139
control,test_onset,onset_syllable,BUH_PUH_3_30,UH,NA,NA,NA,NA,NA,1,21,B,P,NA,NA,30,audio/onset_syllables/BUH_PUH_3_30.wav,140
control,test_onset,onset_syllable,BAA_PAA_3_00,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,0,audio/onset_syllables/BAA_PAA_3_00.wav,141
control,test_onset,onset_syllable,BAA_PAA_3_05,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,5,audio/onset_syllables/BAA_PAA_3_05.wav,142
control,test_onset,onset_syllable,BAA_PAA_3_10,AA,NA,NA,NA,NA,NA,2,25,B,P,NA,NA,10,audio/onset_syllables/BAA_PAA_3_10.wav,143
