index,group,phase,target,type,word_sel,nonword_sel,set,step,recording,path
158,B_group,exposure,Mawn,fill_nonword,Yes,No,Mawn,NA,1,Mawn_1.mp3
159,B_group,exposure,Mayin,fill_nonword,Yes,No,Mayin,NA,1,Mayin_1.mp3
160,B_group,exposure,Memmel,fill_nonword,Yes,No,Memmel,NA,1,Memmel_1.mp3
161,B_group,exposure,Mewry,fill_nonword,Yes,No,Mewry,NA,1,Mewry_1.mp3
162,B_group,exposure,Minnin,fill_nonword,Yes,No,Minnin,NA,1,Minnin_1.mp3
163,B_group,exposure,Morial,fill_nonword,Yes,No,Morial,NA,1,Morial_1.mp3
164,B_group,exposure,Moyer,fill_nonword,Yes,No,Moyer,NA,1,Moyer_1.mp3
165,B_group,exposure,Mun,fill_nonword,Yes,No,Mun,NA,1,Mun_1.mp3
166,B_group,exposure,Munnel,fill_nonword,Yes,No,Munnel,NA,1,Munnel_1.mp3
167,B_group,exposure,Nallow,fill_nonword,Yes,No,Nallow,NA,1,Nallow_1.mp3
168,B_group,exposure,Nellon,fill_nonword,Yes,No,Nellon,NA,1,Nellon_1.mp3
169,B_group,exposure,Neoma,fill_nonword,Yes,No,Neoma,NA,1,Neoma_1.mp3
170,B_group,exposure,Ner,fill_nonword,Yes,No,Ner,NA,1,Ner_1.mp3
171,B_group,exposure,Norlin,fill_nonword,Yes,No,Norlin,NA,1,Norlin_1.mp3
172,B_group,exposure,Noron,fill_nonword,Yes,No,Noron,NA,1,Noron_1.mp3
173,B_group,exposure,Noy,fill_nonword,Yes,No,Noy,NA,1,Noy_1.mp3
174,B_group,exposure,Orn,fill_nonword,Yes,No,Orn,NA,1,Orn_1.mp3
175,B_group,exposure,Rame,fill_nonword,Yes,No,Rame,NA,1,Rame_1.mp3
176,B_group,exposure,Rannel,fill_nonword,Yes,No,Rannel,NA,1,Rannel_1.mp3
177,B_group,exposure,Rawl,fill_nonword,Yes,No,Rawl,NA,1,Rawl_1.mp3
178,B_group,exposure,Reen,fill_nonword,Yes,No,Reen,NA,1,Reen_1.mp3
179,B_group,exposure,Rhinen,fill_nonword,Yes,No,Rhinen,NA,2,Rhinen_2.mp3
180,B_group,exposure,Ria,fill_nonword,Yes,No,Ria,NA,1,Ria_1.mp3
181,B_group,exposure,Saln,fill_nonword,Yes,No,Saln,NA,1,Saln_1.mp3
182,B_group,exposure,Sare,fill_nonword,Yes,No,Sare,NA,1,Sare_1.mp3
183,B_group,exposure,Selmer,fill_nonword,Yes,No,Selmer,NA,1,Selmer_1.mp3
184,B_group,exposure,Siller,fill_nonword,Yes,No,Siller,NA,1,Siller_1.mp3
