index,group,phase,target,type,word_sel,nonword_sel,set,step,recording,path
175,control,exposure,Enamel,fill_word,yes,no,Enamel,NA,1,Enamel_1.mp3
176,control,exposure,Enroll,fill_word,yes,no,Enroll,NA,1,Enroll_1.mp3
177,control,exposure,Fairy,fill_word,yes,no,Fairy,NA,1,Fairy_1.mp3
178,control,exposure,Fallow,fill_word,yes,no,Fallow,NA,1,Fallow_1.mp3
179,control,exposure,Family,fill_word,yes,no,Family,NA,1,Family_1.mp3
180,control,exposure,Farm,fill_word,yes,no,Farm,NA,1,Farm_1.mp3
181,control,exposure,Faun,fill_word,yes,no,Faun,NA,1,Faun_1.mp3
182,control,exposure,Fear,fill_word,yes,no,Fear,NA,1,Fear_1.mp3
183,control,exposure,Felony,fill_word,yes,no,Felony,NA,1,Felony_1.mp3
184,control,exposure,Film,fill_word,yes,no,Film,NA,1,Film_1.mp3
185,control,exposure,Gnome,fill_word,yes,no,Gnome,NA,1,Gnome_1.mp3
186,control,exposure,Hair,fill_word,yes,no,Hair,NA,1,Hair_1.mp3
187,control,exposure,Halo,fill_word,yes,no,Halo,NA,1,Halo_1.mp3
188,control,exposure,Harm,fill_word,yes,no,Harm,NA,1,Harm_1.mp3
189,control,exposure,Hero,fill_word,yes,no,Hero,NA,1,Hero_1.mp3
190,control,exposure,Owl,fill_word,yes,no,Owl,NA,1,Owl_1.mp3
191,control,exposure,Psalm,fill_word,yes,no,Psalm,NA,1,Psalm_1.mp3
192,control,exposure,Rail,fill_word,yes,no,Rail,NA,1,Rail_1.mp3
193,control,exposure,Realign,fill_word,yes,no,Realign,NA,1,Realign_1.mp3
194,control,exposure,Rely,fill_word,yes,no,Rely,NA,1,Rely_1.mp3
195,control,exposure,Rule,fill_word,yes,no,Rule,NA,1,Rule_1.mp3
196,control,exposure,Room,fill_word,yes,no,Room,NA,1,Room_1.mp3
197,control,exposure,Rural,fill_word,yes,no,Rural,NA,1,Rural_1.mp3
198,control,exposure,Salary,fill_word,yes,no,Salary,NA,1,Salary_1.mp3
199,control,exposure,Scenery,fill_word,yes,no,Scenery,NA,1,Scenery_1.mp3
200,control,exposure,Seminar,fill_word,yes,no,Seminar,NA,1,Seminar_1.mp3
