index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,folder,path,path
52,P_group,left,exposure,Failure,fill_word,Yes,No,Failure,NA,1,word/,word/Failure_1.mp3,Failure_1.mp3
53,P_group,left,exposure,Famous,fill_word,Yes,No,Famous,NA,1,word/,word/Famous_1.mp3,Famous_1.mp3
54,P_group,left,exposure,Flower,fill_word,Yes,No,Flower,NA,1,word/,word/Flower_1.mp3,Flower_1.mp3
55,P_group,left,exposure,Frame,fill_word,Yes,No,Frame,NA,1,word/,word/Frame_1.mp3,Frame_1.mp3
56,P_group,left,exposure,Funnel,fill_word,Yes,No,Funnel,NA,1,word/,word/Funnel_1.mp3,Funnel_1.mp3
57,P_group,left,exposure,Hallway,fill_word,Yes,No,Hallway,NA,1,word/,word/Hallway_1.mp3,Hallway_1.mp3
58,P_group,left,exposure,Hang,fill_word,Yes,No,Hang,NA,1,word/,word/Hang_1.mp3,Hang_1.mp3
59,P_group,left,exposure,Harmony,fill_word,Yes,No,Harmony,NA,1,word/,word/Harmony_1.mp3,Harmony_1.mp3
60,P_group,left,exposure,Hill,fill_word,Yes,No,Hill,NA,1,word/,word/Hill_1.mp3,Hill_1.mp3
61,P_group,left,exposure,Hole,fill_word,Yes,No,Hole,NA,1,word/,word/Hole_1.mp3,Hole_1.mp3
62,P_group,left,exposure,Horn,fill_word,Yes,No,Horn,NA,1,word/,word/Horn_1.mp3,Horn_1.mp3
63,P_group,left,exposure,Jelly,fill_word,Yes,No,Jelly,NA,1,word/,word/Jelly_1.mp3,Jelly_1.mp3
64,P_group,left,exposure,Jewel,fill_word,Yes,No,Jewel,NA,1,word/,word/Jewel_1.mp3,Jewel_1.mp3
65,P_group,left,exposure,Lawyer,fill_word,Yes,No,Lawyer,NA,1,word/,word/Lawyer_1.mp3,Lawyer_1.mp3
66,P_group,left,exposure,Layer,fill_word,Yes,No,Layer,NA,1,word/,word/Layer_1.mp3,Layer_1.mp3
67,P_group,left,exposure,Learning,fill_word,Yes,No,Learning,NA,1,word/,word/Learning_1.mp3,Learning_1.mp3
68,P_group,left,exposure,Low,fill_word,Yes,No,Low,NA,1,word/,word/Low_1.mp3,Low_1.mp3
69,P_group,left,exposure,Main,fill_word,Yes,No,Main,NA,1,word/,word/Main_1.mp3,Main_1.mp3
70,P_group,left,exposure,Marine,fill_word,Yes,No,Marine,NA,1,word/,word/Marine_1.mp3,Marine_1.mp3
71,P_group,left,exposure,Memory,fill_word,Yes,No,Memory,NA,1,word/,word/Memory_1.mp3,Memory_1.mp3
72,P_group,left,exposure,Money,fill_word,Yes,No,Money,NA,1,word/,word/Money_1.mp3,Money_1.mp3
73,P_group,left,exposure,Name,fill_word,Yes,No,Name,NA,1,word/,word/Name_1.mp3,Name_1.mp3
74,P_group,left,exposure,Narrow,fill_word,Yes,No,Narrow,NA,1,word/,word/Narrow_1.mp3,Narrow_1.mp3
75,P_group,left,exposure,Normal,fill_word,Yes,No,Normal,NA,1,word/,word/Normal_1.mp3,Normal_1.mp3
76,P_group,left,exposure,Nun,fill_word,Yes,No,Nun,NA,1,word/,word/Nun_1.mp3,Nun_1.mp3
77,P_group,left,exposure,Phenomenon,fill_word,Yes,No,Phenomenon,NA,1,word/,word/Phenomenon_1.mp3,Phenomenon_1.mp3
78,P_group,left,exposure,Rally,fill_word,Yes,No,Rally,NA,1,word/,word/Rally_1.mp3,Rally_1.mp3
79,P_group,left,exposure,Range,fill_word,Yes,No,Range,NA,1,word/,word/Range_1.mp3,Range_1.mp3
80,P_group,left,exposure,Real,fill_word,Yes,No,Real,NA,1,word/,word/Real_1.mp3,Real_1.mp3
81,P_group,left,exposure,Reign,fill_word,Yes,No,Reign,NA,1,word/,word/Reign_1.mp3,Reign_1.mp3
82,P_group,left,exposure,Ring,fill_word,Yes,No,Ring,NA,1,word/,word/Ring_1.mp3,Ring_1.mp3
83,P_group,left,exposure,Roar,fill_word,Yes,No,Roar,NA,1,word/,word/Roar_1.mp3,Roar_1.mp3
84,P_group,left,exposure,Royal,fill_word,Yes,No,Royal,NA,1,word/,word/Royal_1.mp3,Royal_1.mp3
85,P_group,left,exposure,Ruin,fill_word,Yes,No,Ruin,NA,1,word/,word/Ruin_1.mp3,Ruin_1.mp3
86,P_group,left,exposure,Rumor,fill_word,Yes,No,Rumor,NA,1,word/,word/Rumor_1.mp3,Rumor_1.mp3
87,P_group,left,exposure,Runner,fill_word,Yes,No,Runner,NA,1,word/,word/Runner_1.mp3,Runner_1.mp3
88,P_group,left,exposure,Sailor,fill_word,Yes,No,Sailor,NA,1,word/,word/Sailor_1.mp3,Sailor_1.mp3
89,P_group,left,exposure,Seal,fill_word,Yes,No,Seal,NA,1,word/,word/Seal_1.mp3,Seal_1.mp3
90,P_group,left,exposure,Shell,fill_word,Yes,No,Shell,NA,1,word/,word/Shell_1.mp3,Shell_1.mp3
91,P_group,left,exposure,Similar,fill_word,Yes,No,Similar,NA,1,word/,word/Similar_1.mp3,Similar_1.mp3
92,P_group,left,exposure,Soil,fill_word,Yes,No,Soil,NA,1,word/,word/Soil_1.mp3,Soil_1.mp3
93,P_group,left,exposure,Valley,fill_word,Yes,No,Valley,NA,1,word/,word/Valley_1.mp3,Valley_1.mp3
94,P_group,left,exposure,Vary,fill_word,Yes,No,Vary,NA,1,word/,word/Vary_1.mp3,Vary_1.mp3
95,P_group,left,exposure,Venue,fill_word,Yes,No,Venue,NA,1,word/,word/Venue_1.mp3,Venue_1.mp3
96,P_group,left,exposure,Violin,fill_word,Yes,No,Violin,NA,1,word/,word/Violin_1.mp3,Violin_1.mp3
97,P_group,left,exposure,Volume,fill_word,Yes,No,Volume,NA,1,word/,word/Volume_1.mp3,Volume_1.mp3
98,P_group,left,exposure,Sewer,fill_word,Yes,No,Sewer,NA,1,word/,word/Sewer_1.mp3,Sewer_1.mp3
99,P_group,left,exposure,Swear,fill_word,Yes,No,Swear,NA,1,word/,word/Swear_1.mp3,Swear_1.mp3
100,P_group,left,exposure,Throne,fill_word,Yes,No,Throne,NA,1,word/,word/Throne_1.mp3,Throne_1.mp3
101,P_group,left,exposure,Alinomy,fill_nonword,Yes,No,Alinomy,NA,1,nonword/,nonword/Alinomy_1.mp3,Alinomy_1.mp3
102,P_group,left,exposure,Aller,fill_nonword,Yes,No,Aller,NA,1,nonword/,nonword/Aller_1.mp3,Aller_1.mp3
103,P_group,left,exposure,Arema,fill_nonword,Yes,No,Arema,NA,1,nonword/,nonword/Arema_1.mp3,Arema_1.mp3
104,P_group,left,exposure,Chame,fill_nonword,Yes,No,Chame,NA,1,nonword/,nonword/Chame_1.mp3,Chame_1.mp3
105,P_group,left,exposure,Charle,fill_nonword,Yes,No,Charle,NA,1,nonword/,nonword/Charle_1.mp3,Charle_1.mp3
106,P_group,left,exposure,Cheel,fill_nonword,Yes,No,Cheel,NA,1,nonword/,nonword/Cheel_1.mp3,Cheel_1.mp3
107,P_group,left,exposure,Churr,fill_nonword,Yes,No,Churr,NA,1,nonword/,nonword/Churr_1.mp3,Churr_1.mp3
