index,group,target,type,word_sel,nonword_sel,set,step,recording,path
140,P_group,Jurio,fill_nonword,Yes,No,Jurio,NA,1,Jurio_1.mp3
141,P_group,Lahm,fill_nonword,Yes,No,Lahm,NA,1,Lahm_1.mp3
142,P_group,Lail,fill_nonword,Yes,No,Lail,NA,1,Lail_1.mp3
143,P_group,Lamurre,fill_nonword,Yes,No,Lamurre,NA,1,Lamurre_1.mp3
144,P_group,Lar,fill_nonword,Yes,No,Lar,NA,1,Lar_1.mp3
145,P_group,Larrow,fill_nonword,Yes,No,Larrow,NA,1,Larrow_1.mp3
146,P_group,Lemmela,fill_nonword,Yes,No,Lemmela,NA,1,Lemmela_1.mp3
147,P_group,Lennim,fill_nonword,Yes,No,Lennim,NA,1,Lennim_1.mp3
148,P_group,Leonie,fill_nonword,Yes,No,Leonie,NA,1,Leonie_1.mp3
149,P_group,Lermie,fill_nonword,Yes,No,Lermie,NA,1,Lermie_1.mp3
150,P_group,Loanler,fill_nonword,Yes,No,Loanler,NA,1,Loanler_1.mp3
151,P_group,Loff,fill_nonword,Yes,No,Loff,NA,1,Loff_1.mp3
152,P_group,Lum,fill_nonword,Yes,No,Lum,NA,1,Lum_1.mp3
153,P_group,Mallon,fill_nonword,Yes,No,Mallon,NA,1,Mallon_1.mp3
154,P_group,Mang,fill_nonword,Yes,No,Mang,NA,1,Mang_1.mp3
155,P_group,Mannow,fill_nonword,Yes,No,Mannow,NA,1,Mannow_1.mp3
156,P_group,Marn,fill_nonword,Yes,No,Marn,NA,1,Marn_1.mp3
157,P_group,Mawen,fill_nonword,Yes,No,Mawen,NA,1,Mawen_1.mp3
158,P_group,Mawn,fill_nonword,Yes,No,Mawn,NA,1,Mawn_1.mp3
159,P_group,Mayin,fill_nonword,Yes,No,Mayin,NA,1,Mayin_1.mp3
160,P_group,Memmel,fill_nonword,Yes,No,Memmel,NA,1,Memmel_1.mp3
161,P_group,Mewry,fill_nonword,Yes,No,Mewry,NA,1,Mewry_1.mp3
162,P_group,Minnin,fill_nonword,Yes,No,Minnin,NA,1,Minnin_1.mp3
163,P_group,Morial,fill_nonword,Yes,No,Morial,NA,1,Morial_1.mp3
164,P_group,Moyer,fill_nonword,Yes,No,Moyer,NA,1,Moyer_1.mp3
165,P_group,Mun,fill_nonword,Yes,No,Mun,NA,1,Mun_1.mp3
166,P_group,Munnel,fill_nonword,Yes,No,Munnel,NA,1,Munnel_1.mp3
167,P_group,Nallow,fill_nonword,Yes,No,Nallow,NA,1,Nallow_1.mp3
168,P_group,Nellon,fill_nonword,Yes,No,Nellon,NA,1,Nellon_1.mp3
169,P_group,Neoma,fill_nonword,Yes,No,Neoma,NA,1,Neoma_1.mp3
170,P_group,Ner,fill_nonword,Yes,No,Ner,NA,1,Ner_1.mp3
171,P_group,Norlin,fill_nonword,Yes,No,Norlin,NA,1,Norlin_1.mp3
172,P_group,Noron,fill_nonword,Yes,No,Noron,NA,1,Noron_1.mp3
173,P_group,Noy,fill_nonword,Yes,No,Noy,NA,1,Noy_1.mp3
174,P_group,Orn,fill_nonword,Yes,No,Orn,NA,1,Orn_1.mp3
175,P_group,Rame,fill_nonword,Yes,No,Rame,NA,1,Rame_1.mp3
176,P_group,Rannel,fill_nonword,Yes,No,Rannel,NA,1,Rannel_1.mp3
177,P_group,Rawl,fill_nonword,Yes,No,Rawl,NA,1,Rawl_1.mp3
178,P_group,Reen,fill_nonword,Yes,No,Reen,NA,1,Reen_1.mp3
179,P_group,Rhinen,fill_nonword,Yes,No,Rhinen,NA,2,Rhinen_2.mp3
180,P_group,Ria,fill_nonword,Yes,No,Ria,NA,1,Ria_1.mp3
181,P_group,Saln,fill_nonword,Yes,No,Saln,NA,1,Saln_1.mp3
182,P_group,Sare,fill_nonword,Yes,No,Sare,NA,1,Sare_1.mp3
183,P_group,Selmer,fill_nonword,Yes,No,Selmer,NA,1,Selmer_1.mp3
184,P_group,Siller,fill_nonword,Yes,No,Siller,NA,1,Siller_1.mp3
185,P_group,Slomb,fill_nonword,Yes,No,Slomb,NA,1,Slomb_1.mp3
186,P_group,Smong,fill_nonword,Yes,No,Smong,NA,1,Smong_1.mp3
187,P_group,Snoll,fill_nonword,Yes,No,Snoll,NA,1,Snoll_1.mp3
188,P_group,Snyre,fill_nonword,Yes,No,Snyre,NA,1,Snyre_1.mp3
189,P_group,Somb,fill_nonword,Yes,No,Somb,NA,1,Somb_1.mp3
190,P_group,Thim,fill_nonword,Yes,No,Thim,NA,1,Thim_1.mp3
191,P_group,Threen,fill_nonword,Yes,No,Threen,NA,1,Threen_1.mp3
192,P_group,Vainyl,fill_nonword,Yes,No,Vainyl,NA,1,Vainyl_1.mp3
193,P_group,Vallon,fill_nonword,Yes,No,Vallon,NA,1,Vallon_1.mp3
194,P_group,Vunn,fill_nonword,Yes,No,Vunn,NA,1,Vunn_1.mp3
195,P_group,Werro,fill_nonword,Yes,No,Werro,NA,1,Werro_1.mp3
196,P_group,Winal,fill_nonword,Yes,No,Winal,NA,1,Winal_1.mp3
197,P_group,Woony,fill_nonword,Yes,No,Woony,NA,1,Woony_1.mp3
198,P_group,Wyan,fill_nonword,Yes,No,Wyan,NA,1,Wyan_1.mp3
199,P_group,Yorn,fill_nonword,Yes,No,Yorn,NA,1,Yorn_1.mp3
200,P_group,Ven,fill_nonword,Yes,No,Ven,NA,1,Ven_1.mp3
